date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:08	179/179	---M--	200	added ('OK')	text/plain	date:Wed,%2021%20Sep%202022%2004:49:57%20GMT	https://zeitgypsum.com/robots.txt		(from )
13:50:08	81470/81470	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2006:50:50%20GMT	https://zeitgypsum.com/	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/index.html	(from )
13:50:08	5194/5194	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2009:13:22%20GMT	https://zeitgypsum.com/wp-content/uploads/2022/07/Web-Clip.png	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-content/uploads/2022/07/Web-Clip.png	(from https://zeitgypsum.com/)
13:50:09	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20Jul%202023%2006:50:50%20GMT	https://zeitgypsum.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-admin/admin-ajax.php	(from https://zeitgypsum.com/)
13:50:09	291/291	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2020:44:23%20GMT	https://zeitgypsum.com/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-includes/css/classic-themes.min3781.css	(from https://zeitgypsum.com/)
13:50:10	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css?ver=6.2.2	C:/My%20Web%20Sites/MiTech/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min3781.css	(from https://zeitgypsum.com/)
13:50:10	79032/79032	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2006:50:51%20GMT	https://zeitgypsum.com/en/	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/en/index.html	(from https://zeitgypsum.com/)
13:50:10	53/53	---MCZ	302	error ('Found')	text/plain	date:Fri,%2014%20Jul%202023%2006:50:51%20GMT	https://unpkg.com/swiper@8/swiper-bundle.min.css?ver=6.2.2	C:/My%20Web%20Sites/MiTech/unpkg.com/swiper@8/swiper-bundle.min.43781.delayed	(from https://zeitgypsum.com/)
13:50:10	57/57	---MCZ	302	error ('Found')	text/plain	date:Fri,%2014%20Jul%202023%2006:50:52%20GMT	https://unpkg.com/swiper@8/swiper-bundle.min.css	C:/My%20Web%20Sites/MiTech/unpkg.com/swiper@8/swiper-bundle.min.css	(from https://zeitgypsum.com/)
13:50:11	16493/16493	---MCZ	200	added ('OK')	text/css	etag:%22406d-rwCOh5O6dcNGNg6U6W482jFM4n8%22	https://unpkg.com/swiper@8.4.7/swiper-bundle.min.css	C:/My%20Web%20Sites/MiTech/unpkg.com/swiper@8.4.7/swiper-bundle.min.css	(from https://zeitgypsum.com/)
13:50:11	128576/128576	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jul%202022%2007:10:42%20GMT	https://zeitgypsum.com/wp-content/themes/zeit-theme-dev/core.css?ver=6.2.2	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-content/themes/zeit-theme-dev/core3781.css	(from https://zeitgypsum.com/)
13:50:11	15861/15861	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jul%202022%2007:11:00%20GMT	https://zeitgypsum.com/wp-content/themes/zeit-theme-dev/tpl-home/tpl-home.css?ver=6.2.2	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-content/themes/zeit-theme-dev/tpl-home/tpl-home3781.css	(from https://zeitgypsum.com/)
13:50:11	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/My%20Web%20Sites/MiTech/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://zeitgypsum.com/)
13:50:12	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22a034d3c71bee546f625877d7932917f8%22	https://use.fontawesome.com/releases/v5.15.4/css/v4-shims.css	C:/My%20Web%20Sites/MiTech/use.fontawesome.com/releases/v5.15.4/css/v4-shims.css	(from https://zeitgypsum.com/)
13:50:12	8815/8815	---MC-	200	added ('OK')	application/json	date:Fri,%2014%20Jul%202023%2006:50:53%20GMT	https://zeitgypsum.com/wp-json/wp/v2/pages/7	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-json/wp/v2/pages/7.json	(from https://zeitgypsum.com/)
13:50:12	231186/231186	---MC-	200	added ('OK')	application/json	date:Fri,%2014%20Jul%202023%2006:50:53%20GMT	https://zeitgypsum.com/wp-json/	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-json/index.html	(from https://zeitgypsum.com/)
13:50:12	2775/2775	---M--	200	added ('OK')	application/json	date:Fri,%2014%20Jul%202023%2006:50:54%20GMT	https://zeitgypsum.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fzeitgypsum.com%2F	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-json/oembed/1.0/embedbe3b.json	(from https://zeitgypsum.com/)
13:50:13	2893/2893	---M-Z	200	added ('OK')	text/xml	date:Fri,%2014%20Jul%202023%2006:50:54%20GMT	https://zeitgypsum.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fzeitgypsum.com%2F&format=xml	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-json/oembed/1.0/embedc64b	(from https://zeitgypsum.com/)
13:50:13	6619/6619	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Jul%202022%2007:11:10%20GMT	https://zeitgypsum.com/wp-content/themes/zeit-theme-dev/images/zeit-logo.svg	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-content/themes/zeit-theme-dev/images/zeit-logo.svg	(from https://zeitgypsum.com/)
13:50:13	305658/305658	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jul%202022%2007:11:07%20GMT	https://zeitgypsum.com/wp-content/themes/zeit-theme-dev/images/mega-2.jpg	C:/My%20Web%20Sites/MiTech/zeitgypsum.com/wp-content/themes/zeit-theme-dev/images/mega-2.jpg	(from https://zeitgypsum.com/)
